section	metric	value	unit	scope
kidney_route	total_result_rows	65580	genes	kidney_full_blocked_permutation_rep01
kidney_route	optimizer_routed_rows	26	genes	kidney_full_blocked_permutation_rep01
kidney_route	optimizer_routed_fraction	0.0003964623360780726	fraction	kidney_full_blocked_permutation_rep01
kidney_route	optimizer_routed_percent	0.03964623360780726	percent	kidney_full_blocked_permutation_rep01
kidney_route	optimizer_refit_rows	9	genes	kidney_full_blocked_permutation_rep01
kidney_route	lfc_changed_between_versions	18	genes	optimizer_routed_rows
kidney_route	lfc_moved_closer_to_deseq2	10	genes	optimizer_routed_rows
kidney_route	lfc_moved_farther_from_deseq2	8	genes	optimizer_routed_rows
kidney_route	lfc_unchanged_between_versions	8	genes	optimizer_routed_rows
hard_bundle_route	total_fitted_rows	535178	genes	eight_real_contrasts
hard_bundle_route	optimizer_routed_rows	305	genes	eight_real_contrasts
hard_bundle_route	optimizer_routed_fraction	0.0005699038450758039	fraction	eight_real_contrasts
hard_bundle_route	optimizer_routed_percent	0.05699038450758439	percent	eight_real_contrasts
nonreplaced_optimizer_input_drift	covered_rows	8	genes	kidney_nonreplaced_optimizer_rows
nonreplaced_optimizer_input_drift	dispersion_abs_diff_median	4.774133266494118e-08	absolute	Rust_current_vs_saved_DESeq2_optimizer_fixture
nonreplaced_optimizer_input_drift	dispersion_abs_diff_max	1.4199374138712528e-06	absolute	Rust_current_vs_saved_DESeq2_optimizer_fixture
nonreplaced_optimizer_input_drift	beta_target_abs_diff_median	9.818068135702962e-05	absolute	Rust_current_vs_saved_DESeq2_optimizer_fixture
nonreplaced_optimizer_input_drift	beta_target_abs_diff_max	0.0007705143892975386	absolute	Rust_current_vs_saved_DESeq2_optimizer_fixture
runtime_3_repeat	version_0_1_6_median	26.7915	seconds	kidney_full_blocked_permutation_rep01
runtime_3_repeat	version_0_1_6_min	25.8673	seconds	kidney_full_blocked_permutation_rep01
runtime_3_repeat	version_0_1_6_max	28.0919	seconds	kidney_full_blocked_permutation_rep01
runtime_3_repeat	version_0_2_0_median	25.94	seconds	kidney_full_blocked_permutation_rep01
runtime_3_repeat	version_0_2_0_min	25.7582	seconds	kidney_full_blocked_permutation_rep01
runtime_3_repeat	version_0_2_0_max	28.5094	seconds	kidney_full_blocked_permutation_rep01
runtime_3_repeat	median_change	-3.178252098451375	percent	negative_is_faster;overlapping_ranges;descriptive_only
analytic_gradient_runtime_3_repeat	finite_difference_median	28.5819	seconds	kidney_full_blocked_permutation_rep01
analytic_gradient_runtime_3_repeat	finite_difference_min	28.4596	seconds	kidney_full_blocked_permutation_rep01
analytic_gradient_runtime_3_repeat	finite_difference_max	28.6558	seconds	kidney_full_blocked_permutation_rep01
analytic_gradient_runtime_3_repeat	analytic_gradient_median	28.3553	seconds	kidney_full_blocked_permutation_rep01
analytic_gradient_runtime_3_repeat	analytic_gradient_min	28.1758	seconds	kidney_full_blocked_permutation_rep01
analytic_gradient_runtime_3_repeat	analytic_gradient_max	28.77	seconds	kidney_full_blocked_permutation_rep01
analytic_gradient_runtime_3_repeat	median_change	-0.7927962339126912	percent	negative_is_faster;overlapping_ranges;descriptive_only
