rank	gene	result_column	baseline_abs_error
1	LINC01730	stat	0.0030938714191082184
2	ADGRG7	stat	0.0022092945475744585
3	KLK2	stat	0.0014256946097693513
4	SLC6A10P	stat	0.0012935686406216895
5	REG1A	stat	0.0010464086784653936
6	LINC03078	stat	0.0010433616213147978
7	IGLV2-23	stat	0.0010100024628947324
8	CYP1A1	stat	0.00099721858487544779
9	ENSG00000302051	stat	0.00096683704587841035
10	PNLIP	stat	0.00085156493112120701
11	CELA3B	stat	0.00085050291137977324
12	CDC25C	padj	0.00081009469168180637
13	CHAC1	padj	0.00081009469168180637
14	CHEK1	padj	0.00081009469168180637
15	ENSG00000293235	padj	0.00081009469168180637
16	FAM72D	padj	0.00081009469168180637
17	GGH	padj	0.00081009469168180637
18	GZMM	padj	0.00081009469168180637
19	HHAT	padj	0.00081009469168180637
20	SPP1	padj	0.00081009469168180637
21	SH2D5	stat	0.00079938810402158111
22	MTND1P23	stat	0.0007753461761934588
23	SYT4	stat	0.00076690567289317002
24	PIP	stat	0.00068911180722719401
25	PNLIPRP1	stat	0.00059044612451053524
26	ENSG00000310100	stat	0.00058449982126418387
27	CCL22	stat	0.00055870541349310049
28	MUC7	stat	0.00052877565667985849
29	LINC01291	stat	0.00043068675491231279
30	PRM1	stat	0.00041270636671675298
31	CELA3A	stat	0.00040874651403821627
32	ENSG00000297583	lfcSE	0.00037905313627306647
33	PRSS2	stat	0.00037803123287849516
34	PRL	stat	0.00037039131254440472
35	ENSG00000294153	stat	0.00034760060882910171
36	IGHG4	stat	0.00032304841535069073
37	ITLN1	stat	0.00029854838632248359
38	GP2	stat	0.00026013863013130134
39	ENSG00000308511	lfcSE	0.00025573422500579923
40	IGLV3-10	stat	0.00024871799484715851
41	REG3G	stat	0.00024582468244682687
42	CBLIF	stat	0.0002311300465076549
43	ENSG00000233340	lfcSE	0.00021200640741092514
44	UMODL1-AS1	stat	0.00018892595107544707
45	KLK3	stat	0.00017715677600321778
46	ENSG00000309679	lfcSE	0.00016722082110942615
47	LCN1	stat	0.00016552816923853797
48	RN7SL377P	lfcSE	0.00016000772728608226
49	NXNP1	lfcSE	0.00015050888065371026
50	EPC1-AS1	lfcSE	0.00015031511279106624
51	CDT1	padj	0.00014243804665520221
52	CABS1	stat	0.00013583519944559974
53	CPA1	stat	0.00012959899466979952
54	ENSG00000299661	lfcSE	0.00011957201580958809
55	MAPK8IP1P2	stat	0.00011921434856931867
56	ENSG00000236941	lfcSE	0.00011172934681358271
57	ENSG00000298223	lfcSE	0.00011083030613723288
58	PRSS1	stat	0.00010163355993370038
59	FAM9C	stat	0.00010112470131362628
60	OR2D3	lfcSE	9.7417087442375205e-05
61	ENSG00000258750	lfcSE	9.6375378388469102e-05
62	SYCN	stat	9.5405116571911641e-05
63	VN1R53P	lfcSE	8.8745667282008611e-05
64	ENSG00000306344	lfcSE	8.657754981067356e-05
65	ENSG00000295990	lfcSE	8.6418799509768718e-05
66	MDM4P1	lfcSE	8.6315544510107145e-05
67	ENSG00000285541	lfcSE	8.6280196852861479e-05
68	TEX13B	lfcSE	8.6214136422846366e-05
69	ENSG00000307204	lfcSE	8.6087288533764905e-05
70	ENSG00000300444	lfcSE	8.5820555870252946e-05
71	ENSG00000250945	lfcSE	8.5634058150763082e-05
72	CLYBL-AS1	lfcSE	8.5487443956644427e-05
73	ARGFXP1	lfcSE	8.5425224728652438e-05
74	ENSG00000307774	lfcSE	8.536516419033191e-05
75	ENSG00000235728	lfcSE	8.5352495180046617e-05
76	ENSG00000261411	lfcSE	8.5334564074557306e-05
77	ENSG00000306848	lfcSE	8.5055758241914248e-05
78	ENSG00000286328	lfcSE	8.5054377836346617e-05
79	ENSG00000232494	lfcSE	8.5043144540719595e-05
80	OR6V1	lfcSE	8.503646697333167e-05
81	OR2T4	lfcSE	8.5021586929912019e-05
82	CD8A	padj	8.5018830018657177e-05
83	IGKV1-16	padj	8.5018830018657177e-05
84	IGLV2-11	padj	8.5018830018657177e-05
85	LINC00426	padj	8.5018830018657177e-05
86	LINC02955	padj	8.5018830018657177e-05
87	PITX2	padj	8.5018830018657177e-05
88	STON2	padj	8.5018830018657177e-05
89	ENSG00000297384	lfcSE	8.4952507844349157e-05
90	ENSG00000301988	lfcSE	8.4947551937109012e-05
91	ENSG00000287806	lfcSE	8.4933799210151761e-05
92	ENSG00000305316	lfcSE	8.491285448641861e-05
93	ENSG00000248200	lfcSE	8.4873193024748161e-05
94	OR7E28P	lfcSE	8.4852933826429222e-05
95	TAF11L11	lfcSE	8.4826047602071242e-05
96	ENSG00000280215	lfcSE	8.4804360825696534e-05
97	IZUMO3	lfcSE	8.4802729757971207e-05
98	ENSG00000309114	lfcSE	8.4799866432394566e-05
99	ENSG00000287111	lfcSE	8.4792721649407099e-05
100	OR2M2	lfcSE	8.4716558035768941e-05
